"","ParticipantIdentifier","Age","ClumpCondition","Condition","NativeSpeaker","EngAoA","Bilingual","Gender","TimeToCompletion","CompletionDate","File","WordFreq","AUROCnofit","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","logL","StartCondition","OrderCondition"
"61","5ibViFfaMPCsPDhedjQa",27,"even","low_even_picsFirst","TRUE","unknown","FALSE","male",24,"6/22/2021","../data/5ibViFfaMPCsPDhedjQa_responses_words.xlsx","HiFreq",0.701521390883499,0,4.07222749194256e-05,0.391250773069583,1.64291679558854,1.075547725915,1.96210214387661,0.87658480177538,-233.597977175008,"Low","Even"
"62","5ibViFfaMPCsPDhedjQa",27,"even","low_even_picsFirst","TRUE","unknown","FALSE","male",24,"6/22/2021","../data/5ibViFfaMPCsPDhedjQa_responses_words.xlsx","LoFreq",0.825979867212936,0.381281709623882,4.07887930539181e-05,0.927311201080105,2.63373391953867,0.793305658110817,3.42136444732582,0.977000772613565,-188.292446368282,"Low","Even"
"63","5ibViFfaMPCsPDhedjQa",27,"even","low_even_picsFirst","TRUE","unknown","FALSE","male",24,"6/22/2021","../data/5ibViFfaMPCsPDhedjQa_responses_words.xlsx","AllFreq",0.747662821881022,0.162216513604745,4.06917165161469e-05,0.618360872621825,1.93923203428359,1.20367535478712,2.34265638089325,0.927441931170961,-275.478155747726,"Low","Even"
"64","5LyfOAcAMfTt9assdAlE",30,"clumped","low_clumped_picsFirst","TRUE","unknown","FALSE","female",25,"6/8/2021","../data/5LyfOAcAMfTt9assdAlE_responses_words.xlsx","HiFreq",0.496233539319292,0,4.57725197114266e-05,0.077655060659332,0,3.13384721580352e-05,0.185917900163971,0.499968328757859,-291.418334482884,"Low","Clumped"
"65","5LyfOAcAMfTt9assdAlE",30,"clumped","low_clumped_picsFirst","TRUE","unknown","FALSE","female",25,"6/8/2021","../data/5LyfOAcAMfTt9assdAlE_responses_words.xlsx","AllFreq",0.57240059114838,0.336092043809479,4.06960779896324e-05,0.414066640109212,0,8.13932617027176e-05,0.869016182520546,0.668003706210584,-439.686746117329,"Low","Clumped"
"66","5LyfOAcAMfTt9assdAlE",30,"clumped","low_clumped_picsFirst","TRUE","unknown","FALSE","female",25,"6/8/2021","../data/5LyfOAcAMfTt9assdAlE_responses_words.xlsx","LoFreq",0.672594066989859,0.423092275193288,4.07015018167749e-05,0.779700879614529,0.960337772044253,8.13996547374713e-05,1.68738266778439,0.856392381077512,-289.867448508684,"Low","Clumped"
"67","5rpXAtEMnRq4oFTdPCW8",47,"clumped","high_clumped_wordsFirst","TRUE","unknown","FALSE","female",31,"6/3/2021","../data/5rpXAtEMnRq4oFTdPCW8_responses_words.xlsx","LoFreq",0.52630440359917,0.0544839976221358,4.07307066972304e-05,0.230279100628543,0.0574123817690602,3.13384721580352e-05,0.398416495878703,0.542513848755334,-250.87889902276,"High","Clumped"
"68","5rpXAtEMnRq4oFTdPCW8",47,"clumped","high_clumped_wordsFirst","TRUE","unknown","FALSE","female",31,"6/3/2021","../data/5rpXAtEMnRq4oFTdPCW8_responses_words.xlsx","AllFreq",0.505002881877317,0.00553979449801744,5.90498505453136e-05,0.149158751891007,0.0722439227871606,3.13384721580352e-05,0.299657270377707,0.522990798837327,-329.125293250704,"High","Clumped"
"69","5rpXAtEMnRq4oFTdPCW8",47,"clumped","high_clumped_wordsFirst","TRUE","unknown","FALSE","female",31,"6/3/2021","../data/5rpXAtEMnRq4oFTdPCW8_responses_words.xlsx","HiFreq",0.48545027984801,0,4.57630055673442e-05,0.140641339283642,0.0234732450427907,3.13384721580352e-05,0.294859996324445,0.506588096414362,-244.143579498303,"High","Clumped"
"70","6i9yxPDq4rd1sgDNbqA4",35,"clumped","high_clumped_wordsFirst","TRUE","unknown","FALSE","male",22,"6/23/2021","../data/6i9yxPDq4rd1sgDNbqA4_responses_words.xlsx","HiFreq",0.559579690732335,0.220255116566578,4.07014471367953e-05,0.488339662493787,0.168461611802047,3.13384721580352e-05,0.659973569367621,0.647045328903459,-251.551468778349,"High","Clumped"
